title,company,confidence,reason
Data Analysis,ReleaseMyAd Media Private Limited,70,Matched 100% skills, 0% interests, location score 100%.
Graphic Design With AI,Matrix International,70,Matched 100% skills, 0% interests, location score 100%.
Open Source,UI/UX Design,Atelierish Media,70,3 Months,Operations,Kolkata,Matched 100% skills| 0% interests| location score 100%.,Immediately,₹ 7|000-10|000 /month,Kolkata,UI,Software
AI,UI/UX Design,Matrix International,70,2 Months,Client Servicing - Advertising & Events,Kolkata,Matched 100% skills| 0% interests| location score 100%.,Immediately,₹ 8|000 /month,Kolkata,UI,Software
AI,UI/UX Design,Moople Academy Private Limited,70,3 Months,Coordination,Kolkata,Matched 100% skills| 0% interests| location score 100%.,Immediately,₹ 3|000 /month,Kolkata,UI,Software
Cybersecurity,UI/UX Design,Matrix International,70,4 Months,Graphic Design With AI,Kolkata,Matched 100% skills| 0% interests| location score 100%.,Immediately,₹ 8|000 /month,Kolkata,UI,Software
Blockchain,Java,SVF Entertainment Private Limited,70,3 Months,Customer Service,Kolkata,Matched 100% skills| 0% interests| location score 100%.,Immediately,₹ 10|000-12|000 /month,Kolkata,Java,Software
Cybersecurity,Java,SVF Entertainment Private Limited,70,2 Months,Graphic Design,Kolkata,Matched 100% skills| 0% interests| location score 100%.,Immediately,₹ 7|000-10|000 /month,Kolkata,Java,Software
Game Development,Java,WebMantra Technologies,70,2 Months,Marketing Executive,Kolkata,Matched 100% skills| 0% interests| location score 100%.,Immediately,₹ 10|000 /month,Kolkata,Java,Software
Open Source,UI/UX Design,Atelierish Media,70,3 Months,Operations,Kolkata,Matched 100% skills| 0% interests| location score 100%.,Immediately,₹ 7|000-10|000 /month,Kolkata,UI,Software
